0180511046;20170803;;;
0085516155;20180109;AF01;DC88;SP
0180513097;20180111;;;
0085526281;20190920;E125;DCE3;SP
0095547035;20171120;0000400109;DC32;RA
0075650046;20191003;PY01;DC37;PY
0085516103;20171120;RA01;DC32;
0085516104;20171120;RA01;DC32;
0180513059;20171122;;;
0095552813;20181129;0000503471;MG01;MG
0180513064;20171129;;;
0180513073;20171130;;;
0180514050;20180213;;;
0085521061;20180712;CN01;DC31;CN
0085521062;20180712;CN01;DC31;CN
0085521064;20180713;CN01;DC31;CN
0085521065;20180714;SS03;D178;SP
0075647012;20180718;AF01;D178;SP
0085521082;20180719;CN01;DC31;CN
0085521084;20180719;CN03;DC31;CN
0085521083;20180719;CN02;DC31;CN
0085521089;20180719;CN18;DC31;CN
0085516099;20171110;RA01;DC32;
0085516098;20171109;DC05;BD01;
0085516106;20171124;DC34;ZH01;
0085516116;20171130;JU01;DC15;LS
0085516123;20171205;JU01;DC15;LS
0180513077;20171205;;;
0085516140;20171228;P80A;P801;P8
0095547044;20171229;0000511400;DC15;
0180509047;20170417;;;
0008481966;20170427;0000407006;DC03;
0095543004;20170502;0000400574;DC67;SP
0095552801;20180927;0000407197;DC26;P1
0085516055;20171103;ZR04;DC04;ZR
0085516060;20171103;DC04;ZR04;
0085516061;20171103;DC04;ZR04;
0095547006;20171106;0000409672;DC34;ZH
0095552800;20180927;0000407197;DC26;P1
0085516125;20171205;JU01;DC15;LS
0085516126;20171205;JU01;DC15;LS
0085516131;20171205;JU01;DC15;LS
0180513078;20171205;;;
0085516135;20171205;JU01;DC15;LS
0085516138;20171222;P801;DC33;P8
0085516144;20180103;P801;DC33;P8
0085505017;20170407;AF01;DC63;SP
0085511045;20170510;TU01;DCFA;FA
0085511046;20170510;DC15;DC15;
0085511053;20170515;MG01;DC78;MG
0075646003;20180323;AF01;DC63;SP
0095548033;20180405;0000409699;DC81;SB
0085518040;20180406;DC78;MG01;
0085518075;20180425;CN02;DC31;CN
0085518076;20180425;CN01;DC31;CN
0180515073;20180524;;;
0085505011;20170406;PS07;DC63;SP
0095547046;20180102;0000511400;DC15;
0085516143;20180103;P801;DC33;P8
0085516145;20180103;DC33;P801;
0180513084;20180104;;;
0085516158;20180109;CN01;DC31;CN
0180513091;20180110;;;
0180513092;20180110;;;
0180513095;20180111;;;
0085516165;20180112;PS36;DC63;SP
0095547007;20171107;0000409672;DC34;ZH
0085516069;20171107;DC34;ZH01;
0095547008;20171107;0000409672;DC34;ZH
0085516079;20171107;DC34;ZH01;
0095547017;20171107;0000409672;DC34;ZH
0085516082;20171107;DC34;ZH01;
0085516088;20171108;DC34;ZH01;
0085516089;20171108;DC05;BD01;
0085516090;20171108;DC34;ZH01;
0085516091;20171108;DC34;ZH01;
0095547050;20180103;0000551165;DC33;
0085516150;20180105;CN01;DC31;CN
0085516151;20180105;RA01;DC32;
0085516152;20180105;RA02;DC32;
0085516157;20180109;SS79;DC63;SP
0180513089;20180109;;;
0180513090;20180110;;;
0085516162;20180110;AF01;DC88;SP
0180513098;20180111;;;
0180513099;20180111;;;
0180509053;20170419;;;
0096301000;20170503;0000400574;DC67;SP
0085510020;20170502;S701;DC08;SI
0085522011;20180723;CN01;DC31;CN
0085522017;20180723;CN01;DC31;CN
0095550000;20180727;0000409029;DC27;P2
0095550001;20180727;0000450737;DC27;P2
0096305000;20180730;0000450737;DC27;P2
0075648001;20180807;PS09;DC63;SP
0085516171;20180120;PS36;DC63;SP
0085516172;20180122;CN01;DC31;CN
0085516173;20180123;CN01;DC31;CN
0096303001;20180213;0000450366;DC27;P2
0180514049;20180213;;;
0085518025;20180322;MG01;DC78;MG
0085518034;20180326;ZR12;DC04;ZR
0095548031;20180405;0000409699;DC81;SB
0095538000;20170407;0000400875;DC63;SP
0095544000;20170505;E888;D763;
0085511032;20170509;SM01;DCFA;FA
0085516092;20171108;DC34;ZH01;
0085516093;20171108;DC50;OY01;
0085516094;20171108;DC50;OY01;
0085516095;20171108;DC50;OY01;
0095547030;20171108;0000450759;DC32;RA
0085516096;20171109;DC34;YZ01;
0085516097;20171109;DC50;OY01;
0180513100;20180117;;;
0095547051;20180123;0000406307;DC63;SP
0180513104;20180124;;;
0095547053;20180126;0000409682;DC15;SE
0095547054;20180126;0000503478;DC15;SE
0095548000;20180215;0000406949;DC09;
0095548001;20180215;0000406949;DC09;
0180515048;20180215;;;
0180515049;20180215;;;
0180515050;20180215;;;
0085510025;20170503;AF01;D863;SP
0085510026;20170503;AF01;D863;SP
0075648002;20180807;PS27;DC63;SP
0075648003;20180807;PS29;DC63;SP
0075648004;20180807;PS37;DC63;SP
0075648005;20180807;PS09;DC63;SP
0085522018;20180807;HS78;D178;SP
0085522021;20180809;CN01;DC31;CN
0085522022;20180809;CN01;DC31;CN
0085518054;20180413;MG01;DC78;MG
0085518146;20180518;CN05;DC31;CN
0085518147;20180518;CN05;DC31;CN
0085518158;20180522;CN05;DC31;CN
0085518164;20180522;HO33;DC33;
0085518165;20180522;P801;DC33;P8
0085518166;20180522;P802;DC33;P8
0085518170;20180522;P802;DC33;P8
0085518171;20180522;CN01;DC31;CN
0180515069;20180522;;;
0085505012;20170406;AF01;DC63;SP
